pid	sen_a	sen_b	label
5633	Does Premphase work for birth control?	Does Premphase work for birth control?	true
5634	Does Premphase work for birth control?	Is melatonin good for anything?  What is the dose?	false
5635	50-year-old woman with elevated serum calcium.  Our upper limit is about 10.1.  A year ago her calcium was about 9.5.  This year it was about 11 and a repeat was about 10.5.  Her alkaline phosphatase was normal.  The question is, "How aggressive do you get with people like that?"	What is the workup of an elevated serum calcium?	true
5636	50-year-old woman with elevated serum calcium.  Our upper limit is about 10.1.  A year ago her calcium was about 9.5.  This year it was about 11 and a repeat was about 10.5.  Her alkaline phosphatase was normal.  The question is, "How aggressive do you get with people like that?"	Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?	false
5637	50-year-old man with ulcerative colitis.  He's been passing bright red blood for the past few days.  He's on Asacol 400 milligrams three times a day.  My question is, can I increase his Asacol?	What is the maximum dose of Asacol?	true
5638	50-year-old man with ulcerative colitis.  He's been passing bright red blood for the past few days.  He's on Asacol 400 milligrams three times a day.  My question is, can I increase his Asacol?	How should I treat polymenorrhea in a 14-year-old girl?	false
5639	What immunizations are needed at one year old?	What immunizations should be given at age one year?	true
5640	What immunizations are needed at one year old?	Boys' father has Marfan's Syndrome. Do these boys need further evaluation?	false
5641	31-year-old woman is breast feeding, complains of being tired and has a stomatitis with aphthous ulcers in her mouth.  The question is whether tetracycline crosses into the breast milk.	Is tetracycline safe to give to a breast feeding mother?	true
5642	31-year-old woman is breast feeding, complains of being tired and has a stomatitis with aphthous ulcers in her mouth.  The question is whether tetracycline crosses into the breast milk.	Should we switch to Ancef for this diabetic foot ulcer? Improvement adequate?	false
5643	Last Thursday a 52-year-old woman fell on an outstretched arm and she had some swelling.  Her x-ray showed a chip fracture off the triquetrum or lunate.  This was the first time I had a fracture like that and the question was how to treat this.	How do you treat a chip fracture of the triquetrum?	true
5644	Last Thursday a 52-year-old woman fell on an outstretched arm and she had some swelling.  Her x-ray showed a chip fracture off the triquetrum or lunate.  This was the first time I had a fracture like that and the question was how to treat this.	Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?	false
5645	Two weeks ago I was deposed on a patient who was in a motor vehicle accident and had heart disease.  One of the questions the attorney asked was "Is there a source you can go to to see if someone with heart disease should be driving?"	Is there a source that would tell if a patient with heart disease should be driving?	true
5646	Two weeks ago I was deposed on a patient who was in a motor vehicle accident and had heart disease.  One of the questions the attorney asked was "Is there a source you can go to to see if someone with heart disease should be driving?"	Let's give these immunizations.  That's right isn't it?	false
5647	A woman with lymphoma undergoing chemotherapy and wanted birth control.  The question was what were the options in this patient with lymphoma, undergoing chemotherapy, and history of thromboembolic disease.	What are the options for birth control in this patient?	true
5648	A woman with lymphoma undergoing chemotherapy and wanted birth control.  The question was what were the options in this patient with lymphoma, undergoing chemotherapy, and history of thromboembolic disease.	68-year-old woman, husband: "Have you told about sleep apnea?" What are those spells?	false
5649	I saw an 8-year-old boy who had intermittent asymptomatic swelling of one knee.  No trauma.  It would just swell up out of the blue and then go down.  The question is what would cause this.	What would cause this knee swelling?	true
5650	I saw an 8-year-old boy who had intermittent asymptomatic swelling of one knee.  No trauma.  It would just swell up out of the blue and then go down.  The question is what would cause this.	What are the causes of tinnitus?	false
5651	38-year-old female with intertrigo.  The question is, what is the current treatment for intertrigo?	What is the treatment for intertrigo?	true
5652	38-year-old female with intertrigo.  The question is, what is the current treatment for intertrigo?	Could Procardia or Mevacor cause tinnitus?	false
5653	What is the treatment for cryptosporidium?	What is the treatment for cryptosporidium?	true
5654	What is the treatment for cryptosporidium?	What is that new drug like Prilosec - it has "acid" at the end of the name.	false
5655	Is there anything to prevent sebaceous cysts from occurring?  Is it a duct that gets blocked?	Is there a way to prevent sebaceous cysts?	true
5656	Is there anything to prevent sebaceous cysts from occurring?  Is it a duct that gets blocked?	Let's give these immunizations.  That's right isn't it?	false
5657	32-year-old man with shortness of breath on exertion, supposedly has Type 2 diabetes, has family history of cardiomyopathy.  The question is how to address this issue.  Is he having hypertensive cardiomyopathy?  Is he having familial cardiomyopathy?  And which antihypertensive would be best?  Should I give a beta blocker because of the possible hypertensive cardiomyopathy?  Should I give an angiotensin converting enzyme inhibitor because of the diabetes?  Or what?	Does he have a hypertensive cardiomyopathy?	true
5658	32-year-old man with shortness of breath on exertion, supposedly has Type 2 diabetes, has family history of cardiomyopathy.  The question is how to address this issue.  Is he having hypertensive cardiomyopathy?  Is he having familial cardiomyopathy?  And which antihypertensive would be best?  Should I give a beta blocker because of the possible hypertensive cardiomyopathy?  Should I give an angiotensin converting enzyme inhibitor because of the diabetes?  Or what?	How do you inject the bicipital tendon?	false
5659	Two year and 10-month-old boy weighs about 65 pounds and is about 42 inches tall.  We did a bone age and the bone age was between 4 and 4 1/2 years old.  The question is, is that significantly different from what it should be for this age and what should we do about it?	What constitutes a significant bone age discrepancy?	true
5660	Two year and 10-month-old boy weighs about 65 pounds and is about 42 inches tall.  We did a bone age and the bone age was between 4 and 4 1/2 years old.  The question is, is that significantly different from what it should be for this age and what should we do about it?	Is Serzone okay to give to with a partial gastrectomy; that is, will it be absorbed?	false
5661	What are the options for treating a streptococcal pharyngitis if you also want to cover a urinary tract infection?	How can you treat streptococcal pharyngitis and a urinary tract infection with one antibiotic?	true
5662	What are the options for treating a streptococcal pharyngitis if you also want to cover a urinary tract infection?	Can Staphylococcus or Haemophilus influenza sepsis give same clinical picture as streptococcal septicemia?	false
5663	What strength does amitriptyline come in?  Specifically, does it come in a 50 milligram tablet?	Does amitriptyline come in 50-milligram tablets?	true
5664	What strength does amitriptyline come in?  Specifically, does it come in a 50 milligram tablet?	How should I treat polymenorrhea in a 14-year-old girl?	false
5665	30-year-old man with a rash on his abdomen and legs, quite extensive, never seen this kind of rash before.  The question is, what is this rash?	What is this rash?	true
5666	30-year-old man with a rash on his abdomen and legs, quite extensive, never seen this kind of rash before.  The question is, what is this rash?	At what ages should you do a Denver Developmental Screening Test?	false
5667	17-year-old female with sore throat and mono-like syndrome had elevated bilirubin, alanine aminotransferase, aspartate aminotransferase, and alkaline phosphatase.  The question is, what is the etiology of this?	What could cause a mono-like illness?	true
5668	17-year-old female with sore throat and mono-like syndrome had elevated bilirubin, alanine aminotransferase, aspartate aminotransferase, and alkaline phosphatase.  The question is, what is the etiology of this?	Patient with transient ischemic attacks; I'm always uncomfortable with how quickly to pursue a workup.	false
5669	78-year-old woman with anemia, possibly caused by her angiotensin converting enzyme inhibitor.  Is Cozaar an angiotensin converting enzyme inhibitor-2?	Is Cozaar an angiotensin converting enzyme inhibitor-2?	true
5670	78-year-old woman with anemia, possibly caused by her angiotensin converting enzyme inhibitor.  Is Cozaar an angiotensin converting enzyme inhibitor-2?	Patient reluctant to take medication. How to control hypertension and still get her cooperation?	false
5671	78-year-old woman with anemia, possibly caused by her angiotensin converting enzyme inhibitor.  After we switch her to Cozaar, how soon would you expect her to correct?	When should the anemia correct after stopping an angiotensin-converting-enzyme inhibitor?	true
5672	78-year-old woman with anemia, possibly caused by her angiotensin converting enzyme inhibitor.  After we switch her to Cozaar, how soon would you expect her to correct?	At what ages should you do a Denver Developmental Screening Test?	false
5673	This patient is almost 34 years old and her mother was diagnosed with breast cancer in her early 50's.  Her mother's sister also has breast cancer and her maternal grandmother died of breast cancer in her 50's.  The question is, does she need to do anything earlier?  Genetic testing or what?	What testing should be offered a 34-year-old woman whose mother, maternal aunt, and maternal grandmother all had breast cancer in their 50's?	true
5674	This patient is almost 34 years old and her mother was diagnosed with breast cancer in her early 50's.  Her mother's sister also has breast cancer and her maternal grandmother died of breast cancer in her 50's.  The question is, does she need to do anything earlier?  Genetic testing or what?	Is melatonin good for anything?  What is the dose?	false
5675	31-year-old pregnant woman with a cough.  I'm just double checking to see if Augmentin is safe during pregnancy and to see if guaifenesin is safe.	Is Augmenting safe in pregnancy?	true
5676	31-year-old pregnant woman with a cough.  I'm just double checking to see if Augmentin is safe during pregnancy and to see if guaifenesin is safe.	Is it safe to use Paxil during the first trimester of pregnancy?	false
5677	27-year-old woman with rash on her face.  The rash almost had a butterfly pattern and my question was whether warfarin can cause a lupus-like reaction.	Can warfarin cause a lupus-like reaction?	true
5678	27-year-old woman with rash on her face.  The rash almost had a butterfly pattern and my question was whether warfarin can cause a lupus-like reaction.	What is the cause of this woman's long term head shaking (tremor)?	false
5679	Does this 9-month-old boy need any immunizations?	What immunizations should be given at age 9 months?	true
5680	Does this 9-month-old boy need any immunizations?	Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?	false
5681	Do Coumadin and Augmentin interact?	Do warfarin and Augmentin interact?	true
5682	Do Coumadin and Augmentin interact?	How do you inject the bicipital tendon?	false
5683	31-year-old woman in for annual exam.  Is Saint John's Wort helpful for premenstrual syndrome?	Is St. John's Wort helpful for premenstrual syndrome?	true
5684	31-year-old woman in for annual exam.  Is Saint John's Wort helpful for premenstrual syndrome?	Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?	false
5685	31-year-old woman in for annual exam.  Is St. John's Wort safe during pregnancy?	Is St. John's Wort safe during pregnancy?	true
5686	31-year-old woman in for annual exam.  Is St. John's Wort safe during pregnancy?	Why is this otherwise healthy 28-year-old woman short of breath?	false
5687	50-year-old male with nasal polyps and congestion.  Allegra and Nasacort not working.  Doesn't like steroids.  Doesn't want surgery.  Are there any other options?	What is the nonsurgical treatment of nasal polyps?	true
5688	50-year-old male with nasal polyps and congestion.  Allegra and Nasacort not working.  Doesn't like steroids.  Doesn't want surgery.  Are there any other options?	On nonstress test after every acceleration brief sharp not deep deceleration. Important?	false
5689	25-year-old male with severe headaches and constipation.  Is Sansert causing the constipation?	Does Sansert cause constipation?	true
5690	25-year-old male with severe headaches and constipation.  Is Sansert causing the constipation?	What antibiotic should I use for this diabetic patient's infected foot ulcer?	false
5691	Daughter of 86-year-old woman called for Flexeril prescription for her mother's "contractures" and wanted it in liquid form.  Doctor X said, "Flexeril doesn't come as a liquid does it?"	Does Flexeril come in liquid form?	true
5692	83-year-old female in for physical exam.  (1) When do you stop doing mammograms? (2) When do you stop getting DEXA (Dual Energy X-Ray Absorptiometry) scans? (3) When do you back off from aggressively treating cholesterol, Type 2 diabetes, coronary artery disease?	At what age should we stop doing mammograms?	true
5693	83-year-old female in for physical exam.  (1) When do you stop doing mammograms? (2) When do you stop getting DEXA (Dual Energy X-Ray Absorptiometry) scans? (3) When do you back off from aggressively treating cholesterol, Type 2 diabetes, coronary artery disease?	Why did she get Coccidiomycosis?	false
5694	79-year-old man.  In May 1999 his prostate-specific antigen was 3.8.  Now, two and a half years later, it's about 7.  So the question is what to do with this patient.	What should you do with a 79-year-old man with a total prostate-specific antigen of 4.9 and a free prostate-specific antigen of 14%?	true
5695	79-year-old man.  In May 1999 his prostate-specific antigen was 3.8.  Now, two and a half years later, it's about 7.  So the question is what to do with this patient.	Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?	false
5696	I have a 65-year-old woman with Type 2 diabetes who was new to me 7 months ago.  The Food and Drug Administration recently said not to use glitazones with insulin because of the risk of congestive heart failure.  But now her glycosylated hemoglobin is better and her insulin requirement is down to 40 in the morning and 32 at night.  So what do you do with that information?	Is it acceptable to continue high-dose pioglitazone along with insulin?	true
5697	70-year-old man with early Alzheimer's disease.  When do you start Aricept and when do you stop it?  What is the risk benefit ratio?  How do you objectively measure whether it's helping?	What are the indications for starting and for stopping donepezil (Aricept)?	true
5698	70-year-old man with early Alzheimer's disease.  When do you start Aricept and when do you stop it?  What is the risk benefit ratio?  How do you objectively measure whether it's helping?	Let's give these immunizations.  That's right isn't it?	false
5699	72-year-old man with hypertension.  He is on Lotrel 5/20, Atenolol 100 milligrams, Cardura 4 milligrams and hydrochlorothiazide 12.5 milligrams.  His blood pressure today is 166/72 by the nurse and I got 180 systolic.  The question is where to go from here with his antihypertensives.	How should the antihypertensives be changed in a patient not controlled on an angiotensin-converting-enzyme inhibitor, a beta blocker, an alpha blocker, and a thiazide diuretic?	true
5700	72-year-old man with hypertension.  He is on Lotrel 5/20, Atenolol 100 milligrams, Cardura 4 milligrams and hydrochlorothiazide 12.5 milligrams.  His blood pressure today is 166/72 by the nurse and I got 180 systolic.  The question is where to go from here with his antihypertensives.	Hospital nurse never had chicken pox, negative titers, should I give vaccine?	false
5701	This is a 72-year-old man on Lotrel 5/20, Atenolol 100 milligrams, Cardura 4 milligrams and hydrochlorothiazide 12.5 milligrams.  I read recently that alpha blockers increase the risk of myocardial infarction and if that is the sole medication, you should switch, but they never say what to do if the patient is on a combination of medicines or if the alpha blocker is being used for benign prostatic hypertrophy (and working well for that).  So should you switch then, even if it's working?	Should the alpha blocker be discontinued in this patient?	true
5702	This is a 72-year-old man on Lotrel 5/20, Atenolol 100 milligrams, Cardura 4 milligrams and hydrochlorothiazide 12.5 milligrams.  I read recently that alpha blockers increase the risk of myocardial infarction and if that is the sole medication, you should switch, but they never say what to do if the patient is on a combination of medicines or if the alpha blocker is being used for benign prostatic hypertrophy (and working well for that).  So should you switch then, even if it's working?	How should I treat polymenorrhea in a 14-year-old girl?	false
5703	70-year-old man here for complete physical examination.  One of the things I struggle with is what screening tests to do.  I don't know what we really should be doing.	What screening tests should be done in men over age 70?	true
5704	70-year-old man here for complete physical examination.  One of the things I struggle with is what screening tests to do.  I don't know what we really should be doing.	What size pills does digoxin come in?	false
5705	50-year-old woman with Helicobacter pylori on biopsy at time of upper endoscopy.  The question is how to treat this.	How should I treat her Helicobacter pylori?	true
5706	50-year-old woman with Helicobacter pylori on biopsy at time of upper endoscopy.  The question is how to treat this.	Why can't this woman hear after otitis media, now normal tympanic membrane's and move well?	false
5707	50-year-old woman with Helicobacter pylori on biopsy at time of upper endoscopy.  She had a good question.  She asked me how long she should continue the Nexium after she finishes the 10-day course for treatment of the Helicobacter pylori.  I (study physician) didn't know.	How long should I continue the proton pump inhibitor after treating Helicobacter pylori?	true
5708	50-year-old woman with Helicobacter pylori on biopsy at time of upper endoscopy.  She had a good question.  She asked me how long she should continue the Nexium after she finishes the 10-day course for treatment of the Helicobacter pylori.  I (study physician) didn't know.	How do you inject the bicipital tendon?	false
5709	Woman in her 20's with a mole on her arm, scared of needles.  I'm looking up EMLA (Eutectic Mixture of Local Anesthetics).  I (investigator) asked her, "What is the question?  The dose or . . . "  She answered, "The dose and how long to apply it before giving the xylocaine injection."	How long before the local anesthetic should you apply EMLA (Eutectic Mixture of Local Anesthetics) cream?	true
5710	Woman in her 20's with a mole on her arm, scared of needles.  I'm looking up EMLA (Eutectic Mixture of Local Anesthetics).  I (investigator) asked her, "What is the question?  The dose or . . . "  She answered, "The dose and how long to apply it before giving the xylocaine injection."	How should I treat polymenorrhea in a 14-year-old girl?	false
5711	I have a 30-year-old woman with Type 1 diabetes and when we started her on Lipitor, her sugars went up into the 300's.  She asked me if Lipitor could cause this and I didn't know, so looked it up in a reference.	Can Lipitor cause the blood sugar?	true
5712	I have a 30-year-old woman with Type 1 diabetes and when we started her on Lipitor, her sugars went up into the 300's.  She asked me if Lipitor could cause this and I didn't know, so looked it up in a reference.	What antibiotic should I use for this diabetic patient's infected foot ulcer?	false
5713	I saw a 6-month-old last week, and the mother asked if she should be on fluoride supplements.  They live in the country and use well water.  I didn't know.	Should she be on fluoride?	true
5714	A phone call from mother of a 3-year-old with what she thinks is thrush.  Has had it before.  Physician looked up the dose of nystatin oral suspension in a reference.	What is the dose of Mycelex troches?	true
5715	11-year-old girl with asthma.  I want to wean her off the Serevent (she's using too much) and start her on a steroid inhaler, but I want to use the steroid that's in Advair in case I have to use both a steroid and Serevent (that is, add back the Serevent).  So the question is, what is the steroid that's in Advair.	What is the steroid that's in Advair?	true
5716	11-year-old girl with asthma.  I want to wean her off the Serevent (she's using too much) and start her on a steroid inhaler, but I want to use the steroid that's in Advair in case I have to use both a steroid and Serevent (that is, add back the Serevent).  So the question is, what is the steroid that's in Advair.	How do you use Redux?  What are the indications?	false
5717	Phone call from 39-year-old woman with depression, on Effexor 150 milligrams once a day.  Still depressed.  My question is how high can I go up on the Effexor.	What is the maximum dose of Effexor?	true
5718	Phone call from 39-year-old woman with depression, on Effexor 150 milligrams once a day.  Still depressed.  My question is how high can I go up on the Effexor.	How should I treat polymenorrhea in a 14-year-old girl?	false
5719	8-year-old male with painful red bumps on his heel.  Red painful subcutaneous, 3 to 4 millimeters in diameter.  Couldn't find anything helpful in three references in my office.	What would cause red lesions on his heel?	true
5720	8-year-old male with painful red bumps on his heel.  Red painful subcutaneous, 3 to 4 millimeters in diameter.  Couldn't find anything helpful in three references in my office.	Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?	false
5721	Newborn male.  Why do they need to urinate after circumcision?  In other words, why do hospitals have a rule that the baby has to urinate after circumcision before they can be discharged?  What would you do if the baby didn't void and how long would you wait?	Why do newborns need to void after circumcision before discharge?	true
5722	Newborn male.  Why do they need to urinate after circumcision?  In other words, why do hospitals have a rule that the baby has to urinate after circumcision before they can be discharged?  What would you do if the baby didn't void and how long would you wait?	How should I treat polymenorrhea in a 14-year-old girl?	false
5723	21-year-old man with diabetes, I saw last Saturday when I was on "city call" (taking patients in the emergency room who had no personal physician).  He had new-onset diabetes but the question was, "Was it Type 1 or Type 2?"	Does this new diabetic patient have Type 1 or Type 2 diabetes	true
5724	21-year-old man with diabetes, I saw last Saturday when I was on "city call" (taking patients in the emergency room who had no personal physician).  He had new-onset diabetes but the question was, "Was it Type 1 or Type 2?"	Is melatonin good for anything?  What is the dose?	false
5725	A boy with Ehlers-Danlos Syndrome I will be seeing this afternoon.  I don't know which type.  I need to read about it before I see him.  I (investigator) tried to nail him down about what information he needed and never got a clear answer.  But on the next visit, I asked him again what the question was and he said, "What is it?" meaning, "What is Ehlers-Danlos Syndrome?"	What is Ehlers-Danlos syndrome?	true
5726	Can she take Plavix is the question.  I know it affects platelets.  What lab work do you need before starting Plavix?  It doesn't really say.  Are there any interactions with the other medications she's on (she already takes 11 other medications).	What are the laboratory tests to get before starting Plavix?	true
5727	What do you do with a 39-year-old woman with dizziness, tingling in her chest and right arm, and shortness of breath?	Should this 39-year-old woman have a treadmill test?	true
5728	What do you do with a 39-year-old woman with dizziness, tingling in her chest and right arm, and shortness of breath?	How should I treat polymenorrhea in a 14-year-old girl?	false
5729	Can we use the QBC (automated complete blood count with automated differential) to differentiate viral from bacterial infection?	Can viral infections be differentiated from bacterial infections using the white blood count?	true
5730	Can we use the QBC (automated complete blood count with automated differential) to differentiate viral from bacterial infection?	Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?	false
5731	What is the best treatment for gastroesophageal reflux disease (frequent spitting) in a 3 1/2-month-old?	What is the treatment for frequent spitting in a 3 1/2-month-old?	true
5732	What is the best treatment for gastroesophageal reflux disease (frequent spitting) in a 3 1/2-month-old?	Is Aeromonas caviae pathogenic?	false
5733	What is the treatment, if any, for a middle-aged man with inflammatory myopathy (creatinine kinases up to 3000, chronically) without symptoms for many years?	What is the treatment for chronically high creatinine kinases in an asymptomatic adult?	true
5734	What is the treatment for tri-iodothyronine thyrotoxicosis?	What is the treatment for T3 (triiodothyronine) thyrotoxicosis?	true
5735	What is the treatment for tri-iodothyronine thyrotoxicosis?	Is there more support we can provide patients with macular degeneration?	false
5736	What is the best treatment for a needlestick injury after a human immunodeficiency virus exposure?	What is the treatment for a needlestick injury?	true
5737	What is the best treatment for a needlestick injury after a human immunodeficiency virus exposure?	What is Dynabac (dirithromycin)? Coverage? Indications? Take with food? Dose?	false
5738	What antidepressant is best to avoid sexual dysfunction?	What antidepressants do not cause sexual dysfunction?	true
5739	What antidepressant is best to avoid sexual dysfunction?	Is melatonin good for anything?  What is the dose?	false
5740	Which infants are candidates for Synagis (respiratory-syncytial-virus immune globulin) and when should it start?	Which infants are candidates for Synagis?	true
5741	Which infants are candidates for Synagis (respiratory-syncytial-virus immune globulin) and when should it start?	Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?	false
5742	35-year-old man.  What are the long term complications for coarctation of the aorta repair in an adult who had the repair as a child?	What are the long-term complications of repair of coarctation of the aorta?	true
5743	Should children with meningococcal disease get the vaccine for Neisseria meningitidis?  I have a 2-year-old in the hospital now with meningococcal sepsis.  He's doing well but does he need the meningococcal vaccine?	Should a 2-year-old who is recovering from meningococcal sepsis get the meningococcal vaccine?	true
5744	What is the best obesity surgery?  Vertical banded gastroplasty, Roux en Y?  And what are the indications for surgery?	What is the best surgery for obesity?	true
5745	What is the best obesity surgery?  Vertical banded gastroplasty, Roux en Y?  And what are the indications for surgery?	How should you adjust the birth control pill if someone has spotting on it?	false
5746	What is the best test for bone mineral density?	What should be done if the computerized tomography shows osteoporosis but the DEXA (Dual Energy X-Ray Absorptiometry) scan is normal?	true
5747	What is the best test for bone mineral density?	Let's give these immunizations.  That's right isn't it?	false
5748	One-year-old with previous Salmonella enteritis, now asymptomatic but followup stool culture positive for Salmonella.  Should she be treated?	Should this I treat this asymptomatic child with a positive stool culture for salmonella?	true
5749	What is the highest recommended dose of Avapro?	What is the maximum dose of Avapro?	true
5750	I have a girl with facioscapulohumeral muscular dystrophy.  I would like to know what the natural history is and if there's any way to treat it.	What is the natural history of facioscapulohumeral muscular dystrophy?	true
5751	32-year-old man chews tobacco.  Does the patch help to get him off?  Does the gum help?	Is the nicotine patch helpful for chewing tobacco cessation?	true
5752	19-year-old thin Type 1 diabetic inpatient with severe episodes of right upper quadrant pain.  Normal ultrasound and upper endoscopy but her HIDA (hydroxyiminodiacetic acid) scan showed "barely visible gallbladder" and poor "ejection fraction."  The question is what to do with this HIDA (hydroxyiminodiacetic acid) scan result.  Could being NPO (nothing by mouth) affect the HIDA (hydroxyiminodiacetic acid) scan results?	Could fasting or narcotics affect the HIDA (hydroxyiminodiacetic acid) scan?	true
5753	50-year-old chronic alcoholic man with markedly elevated alkaline phosphatase, 200 then 300 then 400 and now 1100.  Why does he have this elevated alkaline phosphatase?	What would cause a very high alkaline phosphatase level (over 1000)?	true
5754	50-year-old chronic alcoholic man with markedly elevated alkaline phosphatase, 200 then 300 then 400 and now 1100.  Why does he have this elevated alkaline phosphatase?	Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?	false
5755	15-month-old well child exam but he has eczema not responding to hydrocortisone cream and moisturizing cream.  If hydrocortisone cream doesn't work, what do I go to next?  When do you go to tacrolimus cream?	What are the indications for tacrolimus cream?	true
5756	15-month-old well child exam but he has eczema not responding to hydrocortisone cream and moisturizing cream.  If hydrocortisone cream doesn't work, what do I go to next?  When do you go to tacrolimus cream?	What are the causes of tinnitus?	false
5757	4-year-old girl with a rash.  What is this rash?	What is this rash?	true
5758	4-year-old girl with a rash.  What is this rash?	How old can you see mycoplasma as a common respiratory pathogen?	false
5759	6 and 1/2-year-old girl.  What's causing her ear pain?  She has a normal ear on exam and normal tympanogram.  Is it just eustachian tube dysfunction?	What is causing the ear pain in this child with a normal ear exam?	true
5760	6 and 1/2-year-old girl.  What's causing her ear pain?  She has a normal ear on exam and normal tympanogram.  Is it just eustachian tube dysfunction?	Should I use Serevent (long acting beta agonist) or an inhaled steroid?	false
5761	One year and 10-month-old boy removed from his home because of parental neglect.  Caretaker says he often cries like he's in pain, possibly abdominal pain.  Not eating, just drinking liquids, not sleeping.  The big question with him:  "Is it something physical or all adjustment disorder?"	Is this child's crying due to adjustment disorder?	true
5762	One year and 10-month-old boy removed from his home because of parental neglect.  Caretaker says he often cries like he's in pain, possibly abdominal pain.  Not eating, just drinking liquids, not sleeping.  The big question with him:  "Is it something physical or all adjustment disorder?"	What is the other drug besides Famvir and acyclovir for Herpes Zoster?	false
5763	What is the dose of Zyrtec for a 3-year-old?	What is the dose of Zyrtec for a 3-year-old?	true
5764	4-day-old white male, newborn in the hospital, I delivered.  He was just about to go home and the nurses said, by the way, he's been tachypneic for the last hour or two, with respiratory rates of 60 to 70.  The question was, can tachypnea result from laryngomalacia.	Can laryngomalacia cause tachypnea?	true
5765	4-day-old white male, newborn in the hospital, I delivered.  He was just about to go home and the nurses said, by the way, he's been tachypneic for the last hour or two, with respiratory rates of 60 to 70.  The question was, can tachypnea result from laryngomalacia.	Patient, plate in hip, no murmur, needs subacute bacterial endocarditis prophylaxis before sees dentist?	false
5766	58-year-old white female has a family history of ovarian cancer and is requesting a hysterectomy.  She said, "I'm not using this stuff, why not get rid of it?"  The question is, "Is hysterectomy an option for her?"  We do prophylactic mastectomies, so why not prophylactic hysterectomies?	Is hysterectomy an option for a family history of ovarian cancer?	true
5767	58-year-old white female has a family history of ovarian cancer and is requesting a hysterectomy.  She said, "I'm not using this stuff, why not get rid of it?"  The question is, "Is hysterectomy an option for her?"  We do prophylactic mastectomies, so why not prophylactic hysterectomies?	Let's give these immunizations.  That's right isn't it?	false
5768	45-year-old woman with systemic lupus erythematosus, blue toes due to vascular disease, history of reflex sympathetic dystrophy.  The question is, "What is reflex sympathetic dystrophy?"	What is reflex sympathetic dystrophy?	true
5769	23-year-old man with tinea cruris and athlete's foot.  He's a student so he doesn't have any money.  I looked up to see if you could use Sporanox for tinea cruris.	Is Sporanox indicated for tinea cruris?	true
5770	23-year-old man with tinea cruris and athlete's foot.  He's a student so he doesn't have any money.  I looked up to see if you could use Sporanox for tinea cruris.	Let's give these immunizations.  That's right isn't it?	false
5771	Here's an ethical question:  "Do you tell patients about medical mistakes?"	Should you tell the patient if you make a mistake?	true
5772	I was late this morning because I saw a child in the emergency room who had been there all night, while the emergency room staff took care of two trauma cases.  The question is, "How do you get the emergency room staff to call us sooner so we could have seen this kid?"	How do you get the emergency room to call us sooner?	true
5773	I was late this morning because I saw a child in the emergency room who had been there all night, while the emergency room staff took care of two trauma cases.  The question is, "How do you get the emergency room staff to call us sooner so we could have seen this kid?"	How should I treat polymenorrhea in a 14-year-old girl?	false
5774	This is a little girl with chronic developmental problems and a seizure disorder.  She's had an increase in her seizures.  When we increase her medicine, she gets tired.  When we decrease it, she gets more seizures.  The question is what to do next.	What seizure medications should this patient have?	true
5775	This is a little girl with chronic developmental problems and a seizure disorder.  She's had an increase in her seizures.  When we increase her medicine, she gets tired.  When we decrease it, she gets more seizures.  The question is what to do next.	Could any of her medications cause her to be incontinent?	false
5776	12 year-old girl with chronic form of idiopathic thrombocytopenic purpura.  She gets routine draws every month and today her platelets were down to about 9000.  I know at around 8 to 10 you're supposed to treat but the question is, exactly at what level are you supposed to treat and what is the treatment?	What is the treatment for idiopathic thrombocytopenic purpura with a 9000 platelet count?	true
5777	12 year-old girl with chronic form of idiopathic thrombocytopenic purpura.  She gets routine draws every month and today her platelets were down to about 9000.  I know at around 8 to 10 you're supposed to treat but the question is, exactly at what level are you supposed to treat and what is the treatment?	Is upset stomach a side effect of Glucotrol? Hadn't seen that before.	false
5778	Yesterday I saw a 4 year-old girl with trichotillomania.  Mom said, can you use Benadryl?	Is Benadryl indicated to treat trichotillomania?	true
5779	Yesterday I saw a 4 year-old girl with trichotillomania.  Mom said, can you use Benadryl?	How should I treat polymenorrhea in a 14-year-old girl?	false
5780	This morning I saw an 8-month-old girl with erythema multiforme.  My question was whether to use steroids.	Should this 8-month old get steroids for erythema multiforme?	true
5781	This morning I saw an 8-month-old girl with erythema multiforme.  My question was whether to use steroids.	When do you refer a patient with head trauma for a computerized tomography (CT)?	false
5782	This is a 12-year-old girl with rectal itching at night and her pinworm slide was positive.  The question is how often to give Vermox.	How often do you give Vermox for pinworms?	true
5783	This is a 12-year-old girl with rectal itching at night and her pinworm slide was positive.  The question is how often to give Vermox.	How should I treat polymenorrhea in a 14-year-old girl?	false
